networks,1,2,3,4,5
Visual,1.10215861864979,1.15497308180322,1.10314345438496,1.07786697489149,1.12175381153039
Somatomotor,1.14003562413698,1.23846637274672,1.13941478083899,1.13674414794492,1.18132640851237
Dorsal Attention,1.08190132721946,1.23391573692403,1.04532286448856,0.998021857521822,1.121889384006
Ventral Attention,1.11785796138596,1.35430688024998,1.04653709966073,1.0097170856279,1.17260186887312
Default,1.20398776840445,1.08468807595248,1.22840873453725,1.23703299562402,1.20539460967436
Frontoparietal,1.16426371745847,1.20486183313155,1.11827803340229,1.06910141809281,1.18705271500417
Limbic,1.28644521145284,1.23448252009334,1.29319441185052,1.28807290024878,1.30713534546434
