networks,1,2,3,4
Visual,1.10188873341015,1.14444680822472,1.11626776853873,1.07790145251157
Somatomotor,1.14064868619269,1.21944926576228,1.16430998917843,1.13476567195803
Dorsal Attention,1.08039258360047,1.20271893510707,1.09158096961925,0.991480013109176
Ventral Attention,1.11407498425302,1.30833075177485,1.11845783554411,0.993066079730563
Default,1.20776995006714,1.10394541709774,1.21869726550438,1.25153581371268
Frontoparietal,1.16331508559992,1.1908832219997,1.16481496315712,1.06928841314274
Limbic,1.28921812019825,1.24253168039873,1.30485467976652,1.29658397905199
