networks,clust1,clust2,clust3,clust4,clust5
Visual,2.2253923587564346,2.0552293403829225,1.6091414524498193,3.2201568854770213,3.23224442029559
Somatomotor,1.5303317684675437,1.5459248011771165,1.2407264270293596,1.8981934054277994,1.6537263016938772
Dorsal Attention,1.503151874575991,1.5086294003989669,1.0165314826614715,2.351127564439634,1.9791303286303448
Ventral Attention,1.560628446534869,1.4130549294798018,1.5391116152084776,1.3697769446976398,1.446848231587321
Default,2.0643547635458765,2.1064374053393853,2.4382508384332175,1.786132454928381,1.8891693236799176
Frontoparietal,1.5149674595709455,1.898186846356906,1.5104041264926582,1.61841553563219,1.5283288652788591
Limbic,4.335856582114478,3.9087128909133644,4.019025622917993,3.019780168054079,4.249393942751202
