networks,1,2,3
Visual,2.03855920298771,3.15988995540251,3.2419124837961
Somatomotor,1.45894952952455,1.87468900454955,1.66661697220842
Dorsal Attention,1.37292399618002,2.32364887654938,2.00585815660125
Ventral Attention,1.52945678918196,1.33124998668117,1.4636937920425
Default,2.17903576995499,1.74343259714188,1.89241685734146
Frontoparietal,1.58525226305929,1.59003716810015,1.53799206021673
Limbic,4.19210407960278,2.91916504001345,4.23022240292609
