networks,1,2,3,4
Visual,2.27176999495364,3.07408877196545,1.73170305012813,3.35105313476211
Somatomotor,1.59081137936298,1.91532392172991,1.30213759072467,1.60430488307174
Dorsal Attention,1.57461877302967,2.33203407579133,1.10587740839229,2.01938469966016
Ventral Attention,1.55990959951297,1.33047316906618,1.54191247886636,1.37585388077204
Default,2.08605706964046,1.71016710593751,2.38831373903086,1.8315594671353
Frontoparietal,1.65444474392868,1.58299677626023,1.51735405458844,1.47144767041739
Limbic,4.2479242043696,2.76335956140853,4.08674692655792,4.176519472237
