networks,clust1,clust2,clust3
Visual,1.104992349386378,1.1436162413376934,1.086951473613468
Somatomotor,1.1416646625592473,1.225023667079109,1.143376426876605
Dorsal Attention,1.093369000865031,1.1919171510871454,0.9974067021458811
Ventral Attention,1.1344738426241774,1.2910320652411158,0.9895562005753855
Default,1.1927070204202141,1.118646632716769,1.2654184858596949
Frontoparietal,1.1634609146046606,1.1843312492407736,1.0842212760714656
Limbic,1.2770887266504152,1.2549909987664711,1.313064426174189
